City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tepecoacuilco de trujano,18.3,-99.4833,21.26,74,8,0.55,MX,1731302227
1,maralal,1.0968,36.698,17.35,73,73,3.53,KE,1731302228
2,georgetown,5.4112,100.3354,31.96,74,20,3.6,MY,1731302229
3,ribeira grande,38.5167,-28.7,20.99,91,33,9.83,PT,1731302230
4,port-aux-francais,-49.35,70.2167,4.84,88,75,9.52,TF,1731302231
5,happy valley-goose bay,53.3168,-60.3315,0.17,59,20,3.09,CA,1731302232
6,salaverry,-8.2333,-78.9667,16.21,85,98,3.12,PE,1731302233
7,east london,-33.0153,27.9116,16.52,94,100,2.57,ZA,1731302234
8,talnakh,69.4865,88.3972,-24.55,89,55,0.53,RU,1731302235
9,jamestown,42.097,-79.2353,13.9,91,100,5.14,US,1731302008
10,praia da vitoria,38.7333,-27.0667,20.14,88,75,8.63,PT,1731302239
11,korsakov,46.6328,142.7813,3.91,55,11,7.67,RU,1731302241
12,vadso,70.0744,29.7487,6.09,81,75,4.12,NO,1731302242
13,hawaiian paradise park,19.5933,-154.9731,22.16,94,64,3.5,US,1731302243
14,twon-brass,4.3151,6.2418,25.89,80,76,1.32,NG,1731302244
15,albany,42.6001,-73.9662,8.7,74,100,1.79,US,1731301613
16,santa elena de uairen,4.6167,-61.1333,23.49,52,77,0.67,VE,1731302246
17,atyashevo,54.5644,46.0691,1.15,80,100,1.33,RU,1731302247
18,aspen,39.1911,-106.8175,-4.31,80,0,2.06,US,1731302248
19,thompson,55.7435,-97.8558,-1.91,86,75,2.57,CA,1731302249
20,talavera de la reina,39.9635,-4.8308,11.34,85,6,2.29,ES,1731302250
21,tazacorte,28.629,-17.9293,25.64,30,0,4.63,ES,1731302251
22,hirara,24.8,125.2833,28.15,78,40,4.63,JP,1731302253
23,nova sintra,14.8667,-24.7167,26.9,70,2,6.94,CV,1731302254
24,sitka,57.0531,-135.33,7.94,66,75,7.72,US,1731302040
25,nagqu,31.5,92.0,6.79,14,0,7.42,CN,1731302256
26,puerto deseado,-47.7503,-65.8938,12.03,45,61,4.78,AR,1731302257
27,al muwayh,22.4333,41.7583,20.74,30,50,4.4,SA,1731302258
28,adamstown,-25.066,-130.1015,21.62,76,100,3.84,PN,1731302259
29,kidal,18.4411,1.4078,18.39,28,2,5.1,ML,1731302260
30,nueve de julio,-35.4444,-60.8831,11.65,99,59,0.45,AR,1731302261
31,port mathurin,-19.6833,63.4167,24.12,76,60,9.05,MU,1731302262
32,sisimiut,66.9395,-53.6735,-6.48,79,100,3.58,GL,1731302263
33,sur,22.5667,59.5289,27.81,52,0,0.79,OM,1731302264
34,grytviken,-54.2811,-36.5092,-1.21,87,100,1.31,GS,1731302267
35,el gouna,27.3942,33.6782,20.17,50,0,5.63,EG,1731302268
36,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,93,100,5.0,RU,1731302269
37,badger,64.8,-147.5333,-17.79,82,0,0.0,US,1731302270
38,vidalia,32.2177,-82.4135,19.97,94,100,1.54,US,1731302271
39,lebu,-37.6167,-73.65,10.68,88,45,1.83,CL,1731302272
40,fort st. john,56.2499,-120.8529,-3.06,80,75,5.14,CA,1731302273
41,meadow lakes,61.6247,-149.6011,-4.07,82,0,0.0,US,1731302274
42,invercargill,-46.4,168.35,13.34,65,23,4.47,NZ,1731302275
43,bichura,50.5881,107.6022,-1.1,54,79,1.09,RU,1731302276
44,mancio lima,-7.6142,-72.8958,24.0,84,39,1.65,BR,1731302277
45,mentekab,3.4854,102.3484,31.64,79,98,0.45,MY,1731302278
46,edinburgh of the seven seas,-37.0676,-12.3116,16.2,88,94,15.91,SH,1731302279
47,bilibino,68.0546,166.4372,-24.69,100,91,1.46,RU,1731302280
48,cascais,38.6979,-9.4215,17.81,80,46,2.68,PT,1731302282
